num_poste alti massif_nivo nom_usuel lat_dg lon_dg datouvr datferm exposition_nivo pente_nivo type_nivo massif_bdclim
5079402 2559 12 GALIBIER-NIVOSE 45.056833 6.377167 2015-09-07 2199-12-31 160.0 0 3 12
5079403 2231 16 SERRE-CHE-LE-MONETIER--S- 44.946167 6.501500 2023-01-03 2199-12-31 0.0 20 2 16
5085001 1848 13 MONTGENEVRE 44.930500 6.721333 1883-05-01 2015-03-31 0.0 0 7 13
5085400 1848 13 MONTGENEVRE-GENDARMERIE 44.930500 6.721333 1971-12-01 2015-03-31 110.0 0 1 13
5085402 2350 13 MONTGENEVRE--S- 44.943500 6.712500 2002-02-26 2199-12-31 270.0 0 2 13
5085403 2134 13 MONTGENEVRE_NIVO 44.938167 6.719500 2004-12-01 2199-12-31 90.0 15 1 13
5090002 1250 19 MOTTE-MOLINES 44.748167 6.122833 1940-01-01 2199-12-31 0.0 0 7 19
5093001 1603 13 NEVACHE-EDF-03 45.018500 6.622333 1928-01-01 2199-12-31 0.0 0 7 13
5093002 1603 13 NEVACHE-EDF 45.018500 6.622333 2007-04-01 2199-12-31 0.0 0 7 13
5093003 2455 13 CHARDONNET-EDFNIVO 45.024333 6.508667 2003-09-24 2199-12-31 20.0 8 8 13
5093402 1610 13 Nevache 45.020000 6.630000 1998-01-01 2010-02-28 360.0 0 1 13
5093403 2060 13 NEVACHE-BUFFERE 45.012833 6.570833 2005-01-01 2018-12-31 40.0 2 1 13
5093405 1579 13 NEVACHE_NIVO 45.016500 6.631667 2022-11-30 2199-12-31 0.0 0 1 13
5096001 1440 19 ORCIERES-EDF 44.685000 6.325667 1865-01-01 2199-12-31 0.0 0 7 19
5096003 2480 16 ROUGNOUS-PRAPIC-EDFNIVO 44.669667 6.422500 2001-09-15 2199-12-31 250.0 7 8 16
5096400 1900 19 Orcieres 44.680000 6.320000 1973-12-17 1992-04-22 130.0 0 1 19
5096401 2100 19 ORCIERES--S- 44.707833 6.316333 1983-12-27 2199-12-31 180.0 0 2 19
5096402 2130 19 Orcieres 44.709333 6.316500 1992-12-12 2022-11-21 130.0 0 1 19
5096403 2464 19 ORCIERES-PNE--S- 44.724000 6.344667 1984-01-03 2199-12-31 180.0 10 2 19
5096404 2280 19 ORCIERES-NIVOSE 44.719000 6.333667 2006-12-21 2199-12-31 180.0 0 3 19
5096405 2285 19 ORCIERES_NIVO 44.719000 6.332167 2022-11-21 2199-12-31 0.0 5 1 19
5098001 1457 20 LES-ORRES 44.508833 6.559333 1931-02-01 2199-12-31 0.0 0 7 20
5098400 1570 20 Les-Orres 44.497667 6.556333 1973-12-01 2002-12-09 310.0 0 1 20
5098401 2220 20 LES-ORRES--S- 44.473333 6.561167 1983-12-27 2199-12-31 310.0 12 2 20
5098402 1895 20 LES-ORRES_NIVO 44.481667 6.562833 2002-12-10 2199-12-31 320.0 13 1 20
5101001 1270 16 PELVOUX 44.866833 6.486667 1936-01-01 2199-12-31 0.0 0 1 16
5101002 1263 16 PELVOUX-EDF 44.875833 6.479167 2007-04-01 2199-12-31 0.0 0 7 16
5101003 1870 16 CEZANNE-EDFNIVO 44.917333 6.415167 2001-07-01 2199-12-31 0.0 1 8 16
5101400 1270 16 PELVOUX-ST-ANTOINE_NIVO 44.870833 6.487167 1994-12-27 2024-12-01 210.0 0 1 16
5101401 3175 16 REFUGE-DES-ECRINS 44.946667 6.382500 2021-10-04 2199-12-31 170.0 20 1 16
5101402 2700 16 REFUGE-DU-PELVOUX 44.882500 6.406667 2021-10-04 2199-12-31 170.0 10 1 16
5110001 1388 16 PUY-ST-VINCENT 44.828833 6.492667 1952-05-01 2199-12-31 0.0 0 7 16
5110400 1680 16 PUY-ST-VINCENT_NIVO 44.818000 6.485833 1979-12-17 2199-12-31 40.0 0 1 16
5110401 2226 16 PUY-ST-VINCENT--S- 44.805667 6.472333 1984-01-17 2199-12-31 40.0 0 2 16
5114002 1429 19 REALLON-ISCLE 44.608333 6.338333 1938-05-01 1998-08-31 0.0 0 7 19
5114400 2010 20 REALLON--S- 44.580333 6.338833 1989-03-01 2199-12-31 10.0 0 2 20
5114401 2120 20 REALLON 44.576667 6.339667 2005-12-01 2007-07-31 40.0 7 1 19
5114402 1716 20 REALLON-_NIVO 44.579333 6.352333 2006-08-01 2199-12-31 360.0 5 1 20
5119401 2125 20 Risoul 44.613500 6.622500 1995-01-06 2012-12-11 20.0 0 1 20
5119402 2050 20 RISOUL_NIVO 44.616667 6.644167 2012-12-11 2199-12-31 360.0 0 1 20
5119403 2300 20 RISOUL--S- 44.599167 6.639167 2012-12-11 2199-12-31 360.0 0 2 20
5120002 1670 17 RISTOLAS 44.765667 6.984500 2004-10-01 2199-12-31 0.0 0 8 17
5120401 1600 17 Ristolas 44.780000 6.950000 1977-12-12 1984-04-30 0.0 0 1 17
5132001 1005 19 ST-BONNET-CHAMPSAUR 44.684167 6.072833 1883-01-01 2199-12-31 0.0 0 8 19
5132003 1020 19 ST-BONNET-EN-CHAMPSAUR-EDF 44.681667 6.075000 2007-04-01 2199-12-31 0.0 0 7 19
5133400 1905 13 SERRE-CHE-CHANTEMERLE_NIVO 44.924500 6.571333 1976-01-01 2199-12-31 40.0 0 1 16
5133402 1360 13 Serre-Chevalier 44.929667 6.597000 1973-12-18 1975-04-20 40.0 0 1 16
5136002 906 17 ST-CREPIN 44.704500 6.600000 2006-09-01 2199-12-31 0.0 0 8 17
5139005 1302 18 ST-ETIENNE-EN-DEVOLUY-EDF 44.694167 5.941167 2007-04-01 2199-12-31 0.0 0 7 18
5139006 1244 18 AGNIERES-EN-DEVOLUY 44.696167 5.880833 1928-11-01 2199-12-31 0.0 0 1 18
5139400 1281 18 St-Etienne-en-Devoluy 44.690000 5.937667 1973-12-01 2019-03-26 220.0 0 1 18
5139405 1915 18 SUPER-DEVOLUY_NIVO2 44.665500 5.906667 2001-12-26 2199-12-31 360.0 0 1 18
5139406 1937 18 SUPER-DEVOLUY--S- 44.662500 5.898333 2020-01-09 2199-12-31 360.0 0 2 18
5139407 1969 18 SUPER-DEVOLUY_NIVO 44.665500 5.889833 2023-01-03 2026-07-08 0.0 0 1 18
5145002 1210 19 ST-JEAN-ST-NICOLAS 44.670833 6.209833 2003-08-01 2199-12-31 0.0 0 8 19
5149402 1950 19 SAINT-LEGER-LES-MELEZES--S- 44.637167 6.224500 2023-01-02 2199-12-31 320.0 20 2 19
5157001 1992 17 ST-VERAN 44.698500 6.870167 1928-01-01 2199-12-31 0.0 0 7 17
5157003 2730 17 LES-MARROUS-EDFNIVO 44.677500 6.945667 2002-11-07 2199-12-31 340.0 10 8 17
5157004 1964 17 SAINT-VERAN 44.699000 6.866000 2025-04-10 2199-12-31 220.0 0 7 17
5157400 2140 17 ST-VERAN-RM 44.705167 6.867833 1979-12-01 2023-12-26 220.0 0 1 17
5161400 2500 16 Villeneuve-la-Salle 44.930000 6.520000 1986-01-01 2001-04-30 130.0 0 1 16
5161401 2480 16 SERRE-CHE-VILLENEUVE--S- 44.922167 6.517333 1986-01-06 2199-12-31 130.0 0 2 16
5161402 2070 16 Villeneuve-la-Salle 44.926667 6.539667 2002-12-01 2016-07-31 30.0 15 1 16
5177400 1855 21 Vars 44.572000 6.679667 1973-12-01 2016-04-30 10.0 5 1 20
5177401 2240 21 VARS--S- 44.573667 6.655333 1983-12-27 2199-12-31 40.0 0 2 20
5177402 2222 21 VARS_NIVO 44.561000 6.670333 2016-05-01 2199-12-31 20.0 0 1 20
5181002 1665 15 VILLAR-D'ARENE 45.030833 6.361667 2002-01-10 2199-12-31 0.0 0 8 15
5182001 1072 15 VILLAR-LOUBIERE 44.826833 6.146000 1864-01-01 2199-12-31 0.0 0 7 19
5183001 1310 17 VILLAR-ST-PANCRACE 44.880333 6.640333 2003-08-01 2199-12-31 0.0 0 8 17
5183400 1310 17 Villar-Saint-Pancrace 44.880333 6.641333 2004-06-01 2011-01-17 0.0 0 1 16
6016001 1464 22 BEUIL-OBS 44.089833 6.988000 1917-03-01 2199-12-31 0.0 0 7 22
6050001 1000 27 COURSEGOULES-EDF 43.793333 7.041000 1931-01-01 2199-12-31 0.0 0 7 22
6056001 1250 22 ENTRAUNES-CLOT-EDF 44.184833 6.748167 1928-10-01 2199-12-31 0.0 0 7 22
6056005 2050 22 SANGUINIERE-EDFNIVO 44.252500 6.774333 2001-12-21 2199-12-31 290.0 4 8 22
6056400 1850 22 ESTENC_NIVO 44.239167 6.753000 1996-08-01 2199-12-31 180.0 0 1 22
6070001 1380 27 GREOLIERES 43.833333 6.966667 1966-04-01 1995-12-31 0.0 0 7 22
6073005 1912 23 ISOLA-2000 44.189500 7.149000 1972-01-01 2199-12-31 0.0 0 7 23
6073400 1860 23 Isola 44.192833 7.136833 1972-01-01 2014-07-31 240.0 0 1 23
