5139406 SUPER-DEVOLUY--S- 2 b'2199-12-31' 1937 1941 4
5139407 SUPER-DEVOLUY_NIVO 1 b'2026-07-08' 1969 1971 2
5145002 ST-JEAN-ST-NICOLAS 8 b'2199-12-31' 1210 1217 7
5149402 SAINT-LEGER-LES-MELEZES- 2 b'2199-12-31' 1950 1943 -7
5157001 ST-VERAN 7 b'2199-12-31' 1992 1992 0
5157003 LES-MARROUS-EDFNIVO 8 b'2199-12-31' 2730 2684 -46
5157004 SAINT-VERAN 7 b'2199-12-31' 1964 1967 3
5157400 ST-VERAN-RM 1 b'2023-12-26' 2140 2146 6
5161400 Villeneuve-la-Salle 1 b'2001-04-30' 2500 2257 -243 "Warning diff altitude mnt/poste >100m"
5161401 SERRE-CHE-VILLENEUVE--S- 2 b'2199-12-31' 2480 2484 4
5161402 Villeneuve-la-Salle 1 b'2016-07-31' 2070 2056 -14
5177400 Vars 1 b'2016-04-30' 1855 1858 3
5177401 VARS--S- 2 b'2199-12-31' 2240 2239 -1
5177402 VARS_NIVO 1 b'2199-12-31' 2222 2217 -5
5181002 VILLAR-D'ARENE 8 b'2199-12-31' 1665 1665 0
5182001 VILLAR-LOUBIERE 7 b'2199-12-31' 1072 1077 5
5183001 VILLAR-ST-PANCRACE 8 b'2199-12-31' 1310 1307 -3
5183400 Villar-Saint-Pancrace 1 b'2011-01-17' 1310 1313 3
6016001 BEUIL-OBS 7 b'2199-12-31' 1464 1479 15
6050001 COURSEGOULES-EDF 7 b'2199-12-31' 1000 978 -22
6056001 ENTRAUNES-CLOT-EDF 7 b'2199-12-31' 1250 1252 2
6056005 SANGUINIERE-EDFNIVO 8 b'2199-12-31' 2050 2056 6
6056400 ESTENC_NIVO 1 b'2199-12-31' 1850 1795 -55
6070001 GREOLIERES 7 b'1995-12-31' 1380 1413 33
6073005 ISOLA-2000 7 b'2199-12-31' 1912 1910 -2
6073400 Isola 1 b'2014-07-31' 1860 1855 -5
6073401 ISOLA--S- 2 b'2199-12-31' 2288 2369 81
6073405 ISOLA_NIVO 1 b'2199-12-31' 1912 1910 -2
6077001 LUCERAM-OBS 7 b'1999-01-31' 1420 1465 45
6077006 PEIRA-CAVA 8 b'2199-12-31' 1443 1432 -11
6094001 PEONE-VALBERG 7 b'2005-06-30' 1659 1736 77
6094002 PEONE 8 b'2199-12-31' 1784 1775 -9
6094400 VALBERG_NIVO 1 b'2199-12-31' 1630 1634 4
6094401 VALBERG--S- 2 b'2199-12-31' 1800 1753 -47
6116002 ST-AUBAN 8 b'2007-12-31' 1048 1044 -4
6119001 ST-DALMAS-LE-SE 7 b'2002-12-31' 1500 1936 436 "Warning diff altitude mnt/poste >100m"
6120002 ST-ETIENNE-DE-TINEE-EDF 7 b'2199-12-31' 1140 1151 11
6120400 AURON_NIVO 1 b'2199-12-31' 1910 1883 -27
6120401 AURON--S- 2 b'2199-12-31' 2099 2093 -6
6120402 Auron 1 b'2008-02-29' 1610 1608 -2
6120403 Auron 1 b'1982-03-21' 1600 1141 -459 "Warning diff altitude mnt/poste >100m"
6127001 ST-MARTIN-DE-VESUBIE-OBS 7 b'2023-07-04' 994 1032 38
6127400 BOREON 1 b'2015-07-31' 1520 1490 -30
6153400 MILLEFONTS-NIVOSE 3 b'2199-12-31' 2430 2436 6
6154002 VALDEROURE 8 b'2005-12-31' 1105 1071 -34
6163005 TENDE-CASTERINO 7 b'2007-12-31' 1554 1818 264 "Warning diff altitude mnt/poste >100m"
6163400 VAL-CASTERINO_NEIGE 1 b'2199-12-31' 1554 1557 3
6163401 VAL-CASTERINO--S- 2 b'2199-12-31' 1926 1925 -1
7105001 ISSANLAS 1 b'2199-12-31' 1215 1209 -6
7144400 LOUBARESSE_NEIGE 1 b'2199-12-31' 1200 1193 -7
7232001 ST-ETIENNE-LUGDARES 1 b'2199-12-31' 1022 1021 -1
9023400 Ascou-Pailheres 1 b'2199-12-31' 1500 1498 -2
9023401 Ascou-Pailheres--S- 2 b'2199-12-31' 1700 1466 -234 "Warning diff altitude mnt/poste >100m"
9024004 ASTON 8 b'2199-12-31' 1781 1786 5
9029001 AULUS-LES-BAINS 7 b'2019-01-01' 733 733 0
9029400 Guzet 1 b'2199-12-31' 1384 1403 19
9029401 Guzet--S- 2 b'2199-12-31' 1950 1390 -560 "Warning diff altitude mnt/poste >100m"
9029402 Aulus-les-Bains 1 b'2015-06-30' 733 733 0
9030014 AUZAT-EDF 8 b'2199-12-31' 1200 1182 -18
9032001 AX-LES-THERMES 7 b'1987-12-31' 713 715 2
9032006 AX-LES-THERMES-SPC 8 b'2199-12-31' 720 706 -14
9032400 Ax-Bonascre--S- 2 b'2199-12-31' 2050 1999 -51
9032401 Le-Saquet 1 b'1995-04-14' 2000 1295 -705 "Warning diff altitude mnt/poste >100m"
9032402 Ax-Bonascre 1 b'2024-01-31' 1715 1722 7
9032403 AX-SAQUET 1 b'2199-12-31' 1997 1861 -136 "Warning diff altitude mnt/poste >100m"
9070400 Beille 1 b'2199-12-31' 1789 1784 -5
9070401 Beille--S- 2 b'2199-12-31' 1789 517 -1272 "Warning diff altitude mnt/poste >100m"
9100004 COUFLENS-EDF 8 b'2199-12-31' 855 851 -4
9122400 OCCASIONNEL-FOIX--S- 2 b'2199-12-31' 358 384 26
9135400 Goulier 1 b'2199-12-31' 1468 1480 12
9135401 Goulier--S- 2 b'2199-12-31' 1500 1928 428 "Warning diff altitude mnt/poste >100m"
9139001 HOSPITALET 7 b'2017-12-31' 1425 1432 7
9139003 L'HOSPITALET-EDF 8 b'2199-12-31' 1430 1429 -1
9139400 L-Hospitalet 1 b'2020-06-30' 1420 1419 -1
9139401 L-Hospitalet--S- 2 b'2199-12-31' 1900 1949 49
9139402 HOSPITALET-NIVOSE 3 b'2199-12-31' 2293 2278 -15
9140001 LE-CHIOULA 1 b'2026-04-19' 1600 1607 7
9162001 ALBEILLE-EDFNIVO 8 b'2199-12-31' 2195 2194 -1
9182003 MASSAT-GEND 1 b'2018-01-01' 636 635 -1
9193400 Mijanes 1 b'2199-12-31' 1530 1545 15
9193401 Mijanes--S- 2 b'2199-12-31' 1800 1751 -49
9206001 MONTFERRIER 7 b'2020-12-31' 760 762 2
9206002 MONT-D'OLMES 7 b'2014-10-31' 1500 1479 -21
9206400 Mont-d-Olmes 1 b'2199-12-31' 1472 1471 -1
9206401 Mont-d-Olmes--S- 2 b'2199-12-31' 1870 1305 -565 "Warning diff altitude mnt/poste >100m"
9220002 ORLU-EDF 8 b'2199-12-31' 908 920 12
9220004 LES-SONGES-EDFNIVO 8 b'2199-12-31' 1940 1943 3
9231400 Etang-de-L-Hers 1 b'2024-07-01' 1280 1285 5
9283002 SAVIGNAC 1 b'2018-01-02' 680 674 -6
9285400 PORT-D'AULA-NIVOSE 3 b'2199-12-31' 2140 2141 1
9290001 SENTEIN 7 b'1994-12-31' 735 734 -1
9290004 EYLIE-D'EN-HAUT 7 b'2017-12-31' 1010 1005 -5
9290005 SENTEIN-EDF 8 b'2199-12-31' 870 848 -22
9290400 SENTEIN-EYLIE-HAUT 1 b'2199-12-31' 1000 1017 17
11028001 BELCAIRE 8 b'2199-12-31' 980 978 -2
11321003 ROQUEFORT-DE-SAULT 7 b'2016-12-31' 1017 1033 16
15014004 AURILLAC 6 b'2199-12-31' 632 630 -2
15025400 PRAT-DE-BOUC-S- 2 b'2199-12-31' 1405 1045 -360 "Warning diff altitude mnt/poste >100m"
15033002 ARJALOUX-EDFNIVO 8 b'2199-12-31' 1300 1304 4
15050400 LE-CLAUX-S- 2 b'2199-12-31' 1420 1422 2
15067002 LE-FAU-EDFNIVO 8 b'2199-12-31' 1120 1110 -10
15101004 LE-LIORAN_SAPC 1 b'2199-12-31' 1236 1235 -1
15101400 Super-Lioran 1 b'1990-12-29' 1245 1252 7
15101402 LE-LIORAN-S- 2 b'2199-12-31' 1450 1407 -43
20007400 Vergio 1 b'2199-12-31' 1420 1413 -7
20007402 SPONDE-NIVOSE 3 b'2199-12-31' 1971 1970 -1
20023400 ASCO-STAGNU 1 b'2199-12-31' 1434 1436 2
20023401 Asco--S- 2 b'2199-12-31' 1820 1819 -1
20031001 BASTELICA-VILLAGE 7 b'2022-04-30' 828 823 -5
20031400 Bastelica 1 b'2199-12-31' 1623 1629 6
20031401 Bastelica--S- 2 b'2199-12-31' 1650 1651 1
20040001 BOCOGNANO-GARE 4 b'2199-12-31' 660 670 10
20040003 BOCOGNANO-GARE 7 b'2018-10-31' 671 670 -1
20040400 POZZI-VIZZAVONA 2 b'2016-04-30' 1470 1449 -21
20047001 CALACUCCIA-GEND 7 b'2016-11-18' 875 846 -29
20108001 EVISA-VILLAGE 4 b'2013-05-03' 856 861 5
20108002 EVISA-ONF 7 b'2199-12-31' 1030 1031 1
20108800 EVISA_ONF_RCE_MESURE_EN_ 7 b'2024-01-31' 1030 1031 1
20124001 GHISONI-GEND 7 b'2008-08-01' 658 650 -8
20124400 Ghisoni 7 b'1995-03-03' 1580 1523 -57
20124401 Ghisoni--S- 2 b'2199-12-31' 1670 1671 1
20124402 GHISONI-CAPAGHJOLU 1 b'2199-12-31' 1670 1671 1
20254400 QUENZA-BUCCHINERA 1 b'1994-02-16' 1480 1481 1
20266001 SALICE 7 b'2021-01-01' 642 642 0
20268001 SAMPOLO 8 b'2199-12-31' 837 826 -11
20278400 BUCCHINERA 1 b'2016-04-30' 1528 1529 1
20341001 VENACO-GEND 7 b'2016-12-31' 615 607 -8
20341400 MANICCIA-NIVOSE 3 b'2199-12-31' 2379 2378 -1
20359004 ZICAVO-GEND 7 b'2016-12-31' 654 635 -19
20359400 ZICAVO-MATALZA 1 b'1990-02-14' 1418 1412 -6
25121003 BOIS-D'AMONT-CHALET-GAIL 1 b'2199-12-31' 1230 1234 4
25219400 EPENOY-NIVO 1 b'2199-12-31' 750 752 2
25380400 METABIEF-S- 2 b'2199-12-31' 1380 1382 2
25380401 METABIEF_STATION 1 b'2199-12-31' 1036 1035 -1
25413001 MOUTHE 1 b'2199-12-31' 940 941 1
26059001 BOUVANTE 7 b'2199-12-31' 1071 1073 2
26059400 FONT-D'URLE 1 b'2016-04-30' 1425 1420 -5
26074001 CHAPELLE-EN-VERCORS_SAPC 8 b'2199-12-31' 879 879 0
26142001 GLANDAGE_SAPC 8 b'2199-12-31' 1007 1009 2
26168001 LUS-L-CROIX-HTE 8 b'2199-12-31' 1059 1055 -4
26290400 Col-du-Rousset 1 b'2018-05-01' 1260 1274 14
31042001 BAGNERES-DE-LUC 7 b'2018-12-31' 620 615 -5
31042012 LUCHON 8 b'2199-12-31' 618 613 -5
31042400 Superbagneres 1 b'2199-12-31' 1763 1763 0
31042401 Superbagneres--S- 2 b'2199-12-31' 2050 1602 -448 "Warning diff altitude mnt/poste >100m"
31042403 Luchon-(CRS)--S- 2 b'2199-12-31' 2150 614 -1536 "Warning diff altitude mnt/poste >100m"
31042404 Superbagneres-Hotel 1 b'1998-09-20' 1800 1713 -87
31085400 Boutx-le-Mourtis 1 b'2199-12-31' 1456 1454 -2
31085401 Boutx-le-Mourtis--S- 2 b'2199-12-31' 1700 1220 -480 "Warning diff altitude mnt/poste >100m"
31123005 PRA-LONG-EDFNIVO 8 b'2199-12-31' 1870 1881 11
31123400 MAUPAS-NIVOSE 3 b'2024-01-08' 2417 2431 14
31221001 PEYRESOURDES 1 b'2017-10-12' 2198 2194 -4
31221400 Les-Agudes 1 b'2199-12-31' 1569 1582 13
31221401 Les-Agudes--S- 2 b'2199-12-31' 2100 2101 1
31404001 OO 7 b'2199-12-31' 969 968 -1
31508400 St-Paul-d-Oueil 1 b'2199-12-31' 1107 1106 -1
31508401 St_Paul_d-Oueil--S- 2 b'2199-12-31' 2000 1693 -307 "Warning diff altitude mnt/poste >100m"
31555400 Occasionnel-Baqueira--S- 2 b'2199-12-31' 2500 2132 -368 "Warning diff altitude mnt/poste >100m"
38002400 Prapoutel-Pipay 1 b'1994-04-03' 1345 1074 -271 "Warning diff altitude mnt/poste >100m"
38002401 Prapoutel--S- 2 b'2199-12-31' 1900 1947 47
38002404 Prapoutel 1 b'1996-04-14' 1870 1865 -5
38002405 Prapoutel 1 b'2004-12-15' 1570 1853 283 "Warning diff altitude mnt/poste >100m"
38002406 PRAPOUTEL 1 b'2024-12-04' 1355 1338 -17
38002408 PRAPOUTEL 1 b'2199-12-31' 1595 1595 0
38005001 ALLEMOND 7 b'2199-12-31' 1270 1264 -6
38005400 Le-Rivier-d-Allemond 1 b'1992-05-01' 1280 1294 14
38005402 AIGLETON-NIVOSE 3 b'2199-12-31' 2240 2234 -6
38006400 Le-Collet-d-Allevard 1 b'2199-12-31' 1642 1599 -43
38006401 Le-Collet-d-Allevard--S- 2 b'2199-12-31' 2000 1994 -6
38006402 Le-Collet-d-Allevard 1 b'1971-04-11' 1650 813 -837 "Warning diff altitude mnt/poste >100m"
38020001 AURIS 7 b'2002-03-31' 730 729 -1
38020400 AURIS-EN-OISANS 1 b'2199-12-31' 1600 1598 -2
38020401 Auris-en-Oisans--S- 2 b'2199-12-31' 1860 1783 -77
38021001 AUTRANS 7 b'2199-12-31' 1069 1067 -2
38021400 AUTRANS-NIVO 1 b'2017-03-31' 1260 1264 4
38040001 BESSE 7 b'2199-12-31' 1520 1519 -1
38052400 Bourg-d-Oisans 1 b'2001-12-31' 720 718 -2
38090400 Col-de-l-Arzelier 1 b'2004-04-30' 1156 1154 -2
